source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0051128,regulation of cellular component organization,0.017966871404416405,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2433,1488,226,21026,0.15188172043010753,0.09288943690916564,query_1,"['GO:0016043', 'GO:0050794']"
GO:CC,GO:0070013,intracellular organelle lumen,0.018107454931638265,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",6695,1587,550,22149,0.3465658475110271,0.08215085884988797,query_1,"['GO:0043229', 'GO:0043233']"
GO:CC,GO:0031974,membrane-enclosed lumen,0.018107454931638265,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",6695,1587,550,22149,0.3465658475110271,0.08215085884988797,query_1,['GO:0110165']
GO:CC,GO:0043233,organelle lumen,0.018107454931638265,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",6695,1587,550,22149,0.3465658475110271,0.08215085884988797,query_1,"['GO:0031974', 'GO:0043226']"
HPA,HPA:0320102,Nasopharynx; respiratory epithelial cells[≥Medium],0.018907110977818643,True,Nasopharynx; respiratory epithelial cells[≥Medium],4740,1001,490,10995,0.48951048951048953,0.10337552742616034,query_1,['HPA:0320101']
WP,WP:WP5362,TAR syndrome,0.018907782583465933,True,TAR syndrome,62,783,16,8752,0.020434227330779056,0.25806451612903225,query_1,['WP:000000']
MIRNA,MIRNA:hsa-mir-337-3p,hsa-mir-337-3p,0.019164083642619394,True,hsa-mir-337-3p,731,1465,98,16638,0.06689419795221843,0.13406292749658003,query_1,['MIRNA:000000']
MIRNA,MIRNA:hsa-mir-3148,hsa-mir-3148,0.02029511464881055,True,hsa-mir-3148,2208,1465,248,16638,0.16928327645051194,0.11231884057971014,query_1,['MIRNA:000000']
GO:BP,GO:0044597,daunorubicin metabolic process,0.020650363483751058,True,"""The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer."" [PMID:20837989]",9,1488,6,21026,0.004032258064516129,0.6666666666666666,query_1,"['GO:0030638', 'GO:0030647', 'GO:0042180']"
GO:MF,GO:1901265,nucleoside phosphate binding,0.021713153710518393,True,"""Binding to nucleoside phosphate."" [GOC:TermGenie]",2424,1571,239,20246,0.15213239974538512,0.0985973597359736,query_1,['GO:0005488']
GO:BP,GO:0044283,small molecule biosynthetic process,0.021811853115885495,True,"""The chemical reactions and pathways resulting in the formation of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:vw]",593,1488,71,21026,0.04771505376344086,0.11973018549747048,query_1,"['GO:0009058', 'GO:0044281']"
TF,TF:M09984,Factor: MAZ; motif: GGGGGAGGGGGNGRGRRRGNRG,0.02222271098663235,True,Factor: MAZ; motif: GGGGGAGGGGGNGRGRRRGNRG,9861,1713,928,20092,0.5417396380618797,0.09410810262650847,query_1,['TF:M00000']
HPA,HPA:0380511,Placenta; decidual cells[≥Low],0.02258050013651748,True,Placenta; decidual cells[≥Low],4834,1001,498,10995,0.4975024975024975,0.10302027306578403,query_1,['HPA:0380000']
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,0.02305836575084976,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2593,1488,238,21026,0.15994623655913978,0.09178557655225607,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
KEGG,KEGG:01100,Metabolic pathways,0.023359066200996585,True,Metabolic pathways,1537,705,164,8484,0.2326241134751773,0.10670136629798309,query_1,['KEGG:00000']
GO:CC,GO:0031090,organelle membrane,0.023603234761925055,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",3842,1587,333,22149,0.20982986767485823,0.08667360749609579,query_1,"['GO:0016020', 'GO:0043227']"
GO:CC,GO:0005739,mitochondrion,0.02392387403729237,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1844,1587,175,22149,0.11027095148078135,0.09490238611713665,query_1,"['GO:0005737', 'GO:0043231']"
GO:BP,GO:0006996,organelle organization,0.02439157383415929,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3594,1488,316,21026,0.21236559139784947,0.0879243183082916,query_1,['GO:0016043']
HPA,HPA:0060000,Bronchus,0.025565478627296176,True,Bronchus,7421,1001,729,10995,0.7282717282717283,0.09823473925346989,query_1,['HPA:0000000']
HP,HP:0001107,Ocular albinism,0.02557733514433606,True,An abnormal reduction in the amount of pigmentation (reduced or absent) of the iris and retina.,29,433,11,5080,0.025404157043879907,0.3793103448275862,query_1,"['HP:0001098', 'HP:0007730']"
GO:BP,GO:0080090,regulation of primary metabolic process,0.025891328653837063,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",5390,1488,452,21026,0.30376344086021506,0.08385899814471243,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0090407,organophosphate biosynthetic process,0.02772068298453548,True,"""The chemical reactions and pathways resulting in the biosynthesis of deoxyribose phosphate, the phosphorylated sugar 2-deoxy-erythro-pentose."" [GOC:chem_mtg]",619,1488,73,21026,0.049059139784946235,0.11793214862681745,query_1,"['GO:0009058', 'GO:0019637']"
TF,TF:M01175,Factor: CKROX; motif: SCCCTCCCC,0.02962773588634529,True,Factor: CKROX; motif: SCCCTCCCC,7520,1713,725,20092,0.4232340922358436,0.09640957446808511,query_1,['TF:M00000']
GO:BP,GO:2000026,regulation of multicellular organismal development,0.031200592140035097,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1418,1488,142,21026,0.09543010752688172,0.1001410437235543,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
HPA,HPA:0380512,Placenta; decidual cells[≥Medium],0.0319073972610272,True,Placenta; decidual cells[≥Medium],3582,1001,380,10995,0.37962037962037964,0.10608598548297041,query_1,['HPA:0380511']
GO:CC,GO:0098588,bounding membrane of organelle,0.03231331743088266,True,"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",2251,1587,207,22149,0.13043478260869565,0.09195912927587739,query_1,['GO:0031090']
MIRNA,MIRNA:hsa-mir-3714,hsa-mir-3714,0.035015116007671314,True,hsa-mir-3714,1787,1465,205,16638,0.13993174061433447,0.11471740346950196,query_1,['MIRNA:000000']
GO:BP,GO:0035556,intracellular signal transduction,0.03507664238071213,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2965,1488,266,21026,0.17876344086021506,0.08971332209106239,query_1,['GO:0007165']
GO:BP,GO:0006631,fatty acid metabolic process,0.03741905887181055,True,"""The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [ISBN:0198547684]",400,1488,52,21026,0.03494623655913978,0.13,query_1,"['GO:0006629', 'GO:0032787']"
TF,TF:M08441,Factor: AP-2gamma:Elk-1; motif: NGCCKNRGGSGRCGGAAGTG,0.04035656935905163,True,Factor: AP-2gamma:Elk-1; motif: NGCCKNRGGSGRCGGAAGTG,16755,1713,1490,20092,0.8698190309398716,0.0889286780065652,query_1,['TF:M00000']
GO:MF,GO:0036094,small molecule binding,0.04353497606735285,True,"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",6577,1571,579,20246,0.36855506047103753,0.08803405808119204,query_1,['GO:0005488']
MIRNA,MIRNA:hsa-mir-520e,hsa-mir-520e,0.045340155704544687,True,hsa-mir-520e,1835,1465,209,16638,0.14266211604095563,0.11389645776566758,query_1,['MIRNA:000000']
MIRNA,MIRNA:hsa-mir-6833-5p,hsa-mir-6833-5p,0.04596407879696329,True,hsa-mir-6833-5p,85,1465,20,16638,0.013651877133105802,0.23529411764705882,query_1,['MIRNA:000000']
MIRNA,MIRNA:hsa-mir-520b,hsa-mir-520b,0.04689818497600421,True,hsa-mir-520b,1836,1465,209,16638,0.14266211604095563,0.11383442265795207,query_1,['MIRNA:000000']
TF,TF:M00806,Factor: NF-1; motif: NTGGNNNNNNGCCAANN,0.0476692869565374,True,Factor: NF-1; motif: NTGGNNNNNNGCCAANN,4357,1713,442,20092,0.2580268534734384,0.10144594904750975,query_1,['TF:M00000']
MIRNA,MIRNA:hsa-mir-20a-5p,hsa-mir-20a-5p,0.04837823417448971,True,hsa-mir-20a-5p,1014,1465,126,16638,0.08600682593856655,0.1242603550295858,query_1,['MIRNA:000000']
GO:BP,GO:0030638,polyketide metabolic process,0.04851834622614989,True,"""The chemical reactions and pathways involving polyketides, any of a diverse group of natural products synthesized via linear poly-beta-ketones, which are themselves formed by repetitive head-to-tail addition of acetyl (or substituted acetyl) units indirectly derived from acetate (or a substituted acetate) by a mechanism similar to that for fatty acid biosynthesis but without the intermediate reductive steps."" [GOC:mah, ISBN:0198506732]",10,1488,6,21026,0.004032258064516129,0.6,query_1,['GO:0019748']
GO:BP,GO:0044598,doxorubicin metabolic process,0.04851834622614989,True,"""The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy."" [PMID:10200167]",10,1488,6,21026,0.004032258064516129,0.6,query_1,"['GO:0016137', 'GO:0030638', 'GO:0034308', 'GO:0042180', 'GO:1902644']"
GO:BP,GO:0030647,aminoglycoside antibiotic metabolic process,0.04851834622614989,True,"""The chemical reactions and pathways involving an aminoglycoside antibiotic, any member of a group of broad spectrum antibiotics, of similar toxicity and pharmacology, that contain an aminodeoxysugar, an amino- or guanidino-substituted inositol ring, and one or more residues of other sugars. The group includes streptomycin, neomycin, framycetin, kanamycin, paromomycin, and gentamicin."" [GOC:mah, ISBN:0198506732]",10,1488,6,21026,0.004032258064516129,0.6,query_1,['GO:0016137']
GO:BP,GO:0050793,regulation of developmental process,0.04922391775402739,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2457,1488,225,21026,0.15120967741935484,0.09157509157509157,query_1,"['GO:0032502', 'GO:0050789']"
