source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0023052,signaling,0.00046933250877635897,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,1488,550,21026,0.3696236559139785,0.0844205679201842,query_1,['GO:0050789']
GO:BP,GO:0006950,response to stress,0.0005796005332359765,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,1488,355,21026,0.2385752688172043,0.08991894630192503,query_1,['GO:0050896']
GO:CC,GO:0005794,Golgi apparatus,0.0005887426593446115,True,"""A membrane-bound cytoplasmic organelle of the endomembrane system that further processes the core oligosaccharides (e.g. N-glycans) added to proteins in the endoplasmic reticulum and packages them into membrane-bound vesicles. The Golgi apparatus operates at the intersection of the secretory, lysosomal, and endocytic pathways."" [ISBN:0198506732]",1659,1587,169,22149,0.10649023314429741,0.10186859553948162,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
MIRNA,MIRNA:hsa-mir-3132,hsa-mir-3132,0.0006423836203133011,True,hsa-mir-3132,580,1465,87,16638,0.059385665529010236,0.15,query_1,['MIRNA:000000']
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.0006675815014227038,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,1488,303,21026,0.20362903225806453,0.09215328467153285,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:MF,GO:0003824,catalytic activity,0.0007283900112271248,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",6817,1571,615,20246,0.3914704010184596,0.09021563737714537,query_1,['GO:0003674']
GO:BP,GO:0007154,cell communication,0.0008096431707980473,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,1488,550,21026,0.3696236559139785,0.08409785932721713,query_1,['GO:0009987']
MIRNA,MIRNA:hsa-mir-4716-3p,hsa-mir-4716-3p,0.0012067489588209223,True,hsa-mir-4716-3p,941,1465,126,16638,0.08600682593856655,0.1339001062699256,query_1,['MIRNA:000000']
HPA,HPA:0320000,Nasopharynx,0.001374295776551418,True,Nasopharynx,7187,1001,718,10995,0.7172827172827173,0.09990260192013357,query_1,['HPA:0000000']
GO:CC,GO:0005576,extracellular region,0.0014772021333826187,True,"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]",4258,1587,375,22149,0.23629489603024575,0.08806951620479098,query_1,['GO:0110165']
TF,TF:M04934_1,Factor: TR4; motif: ACCCCGS; match class: 1,0.001507379561046736,True,Factor: TR4; motif: ACCCCGS; match class: 1,15829,1713,1428,20092,0.8336252189141856,0.09021416387642933,query_1,['TF:M04934']
GO:CC,GO:0005615,extracellular space,0.0015927020805057992,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3315,1587,301,22149,0.18966603654694392,0.09079939668174962,query_1,"['GO:0005576', 'GO:0110165']"
GO:MF,GO:0019770,IgG receptor activity,0.0016072482060306742,True,"""Combining with an immunoglobulin of an IgG isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."" [GOC:add, GOC:signaling, ISBN:0781735149]",5,1571,5,20246,0.003182686187141948,1.0,query_1,['GO:0019763']
GO:MF,GO:1901363,heterocyclic compound binding,0.001833251381473578,True,"""Binding to heterocyclic compound."" [GOC:TermGenie]",2558,1571,258,20246,0.16422660725652452,0.10086004691164972,query_1,['GO:0036094']
GO:MF,GO:0043168,anion binding,0.0018408748602981324,True,"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]",2685,1571,269,20246,0.17122851686823679,0.10018621973929237,query_1,['GO:0043167']
GO:MF,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",0.0022946008715275194,True,"""Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor)."" [EC:2.5.1.-]",63,1571,17,20246,0.010821133036282623,0.2698412698412698,query_1,['GO:0016740']
GO:CC,GO:0016020,membrane,0.0026734626347896646,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9953,1587,797,22149,0.5022054190296156,0.08007635888676781,query_1,['GO:0110165']
TF,TF:M07039_1,Factor: ETF; motif: CCCCGCCCCYN; match class: 1,0.0032767706286625686,True,Factor: ETF; motif: CCCCGCCCCYN; match class: 1,14026,1713,1282,20092,0.7483946293053123,0.09140168258947669,query_1,['TF:M07039']
TF,TF:M10026,Factor: PATZ; motif: GGGGNGGGGGMKGGRRNGGNRN,0.0033315705569410973,True,Factor: PATZ; motif: GGGGNGGGGGMKGGRRNGGNRN,8522,1713,821,20092,0.4792761237594863,0.09633888758507393,query_1,['TF:M00000']
GO:BP,GO:0006796,phosphate-containing compound metabolic process,0.00401346763782497,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2407,1488,228,21026,0.1532258064516129,0.09472372247611134,query_1,['GO:0006793']
KEGG,KEGG:00900,Terpenoid backbone biosynthesis,0.0041082855726761024,True,Terpenoid backbone biosynthesis,22,705,9,8484,0.01276595744680851,0.4090909090909091,query_1,['KEGG:00000']
GO:BP,GO:0070458,cellular detoxification of nitrogen compound,0.0042001716464403855,True,"""Any cellular process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances."" [GOC:mah]",5,1488,5,21026,0.003360215053763441,1.0,query_1,"['GO:0033554', 'GO:0051410', 'GO:1990748']"
GO:BP,GO:0051410,detoxification of nitrogen compound,0.0042001716464403855,True,"""Any process that reduces or removes the toxicity of nitrogenous compounds which are dangerous or toxic. This includes the aerobic conversion of toxic compounds to harmless substances."" [GOC:ai]",5,1488,5,21026,0.003360215053763441,1.0,query_1,"['GO:0098754', 'GO:1901698']"
GO:BP,GO:0048731,system development,0.004265225277861766,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4053,1488,357,21026,0.2399193548387097,0.08808290155440414,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0006793,phosphorus metabolic process,0.004397097280337607,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",2410,1488,228,21026,0.1532258064516129,0.0946058091286307,query_1,['GO:0008152']
GO:BP,GO:0007165,signal transduction,0.004572618541092057,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,1488,504,21026,0.3387096774193548,0.08397200933022327,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0019637,organophosphate metabolic process,0.00463151821078372,True,"""The chemical reactions and pathways involving organophosphates, any phosphate-containing organic compound."" [ISBN:0198506732]",1077,1488,117,21026,0.07862903225806452,0.10863509749303621,query_1,['GO:0006793']
HPA,HPA:0130052,Colon; glandular cells[≥Medium],0.005005212150415835,True,Colon; glandular cells[≥Medium],5975,1001,607,10995,0.6063936063936064,0.10158995815899581,query_1,['HPA:0130051']
MIRNA,MIRNA:hsa-mir-5095,hsa-mir-5095,0.005204936835684251,True,hsa-mir-5095,1865,1465,218,16638,0.14880546075085324,0.11689008042895442,query_1,['MIRNA:000000']
MIRNA,MIRNA:hsa-mir-4694-3p,hsa-mir-4694-3p,0.006172775510289296,True,hsa-mir-4694-3p,1287,1465,159,16638,0.10853242320819112,0.12354312354312354,query_1,['MIRNA:000000']
